project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,readme_content,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
pvlib-python,A set of documented functions for simulating the performance of photovoltaic energy systems.,,https://github.com/pvlib/pvlib-python,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvfactors,Open source view-factor model for diffuse shading and bifacial PV modeling.,,https://github.com/SunPower/pvfactors,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsee,Global Solar Energy Estimator.,,https://github.com/renewables-ninja/gsee,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVMismatch,An explicit Python PV system IV & PV curve trace calculator which can also calculate mismatch.,,https://github.com/SunPower/PVMismatch,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdtools,An open source library to support reproducible technical analysis of time series data from photovoltaic energy systems.,,https://github.com/NREL/rdtools,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine-Learning-for-Solar-Energy-Prediction,Predict the power production of a solar panel farm from weather measurements using machine learning.,,https://github.com/ColasGael/Machine-Learning-for-Solar-Energy-Prediction,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elpv-dataset,A dataset of functional and defective solar cells extracted from EL images of solar modules.,,https://github.com/zae-bayern/elpv-dataset,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feedinlib,Contains implementations of photovoltaic models to calculate electricity generation from a PV installation based on given solar radiation. Furthermore it contains all necessary pre-calculations.,,https://github.com/oemof/feedinlib,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
photovoltaic,A Python library used in photovoltaics.,,https://github.com/pvedu/photovoltaic,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvcaptest,Collection of functions and Jupyter Notebooks to partially automate running a capacity test following ASTM E2848.,,https://github.com/pvcaptest/pvcaptest,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvtrace,Optical ray tracing for luminescent materials and spectral converter photovoltaic devices.,,https://github.com/danieljfarrell/pvtrace,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarPILOT,Solar power tower layout and optimization tool.,,https://github.com/NREL/SolarPILOT,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solar-data-tools,Data analysis tools for working with historical PV solar time-series data sets.,,https://github.com/slacgismo/solar-data-tools,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarPV-DER-simulation-utility,Allows user to run dynamics simulations for solar photovoltaic distributed energy resource connected to a stiff voltage source or to an external program.,,https://github.com/tdcosim/SolarPV-DER-simulation-tool,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bifacial_radiance,Toolkit for working with RADIANCE for the ray-trace modeling of Bifacial Photovoltaics.,,https://github.com/NREL/bifacial_radiance,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autoXRD,"A Python package for automatic XRD pattern classification of thin-films, tweaked for small and class-imbalanced datasets.",,https://github.com/PV-Lab/autoXRD,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BayesProcess,A Python package for Physics informed Bayesian network inference using neural network surrogate model for matching process / variable / performance in solar cells.,,https://github.com/PV-Lab/BayesProcess,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solcore5,"A multi-scale, Python-based library for the modeling of solar cells and semiconductor materials.",,https://github.com/qpv-research-group/solcore5,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solax,Read energy usage data from the real-time API on Solax solar inverters.,,https://github.com/squishykid/solax,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bifacialvf,Bifacial PV View Factor model for system performance calculation.,,https://github.com/NREL/bifacialvf,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solaR,Allows for reproducible research both for photovoltaics systems performance and solar radiation.,,https://github.com/oscarperpinan/solar,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarTherm,Solar thermal power/fuel station performance simulation and optimization using Modelica.,,https://github.com/SolarTherm/SolarTherm,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LibreSolar,Firmware for LibreSolar BMS boards based on bq769x0 or ISL94202.,,https://github.com/LibreSolar/bms-firmware,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charge Controller Firmware,Firmware for LibreSolar MPPT/PWM charge controllers.,,https://github.com/LibreSolar/charge-controller-firmware,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvoutput,Python code for downloading PV data from PVOutput.org.,,https://github.com/openclimatefix/pvoutput,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solarpy,"This package aims to provide a reliable solar radiation model, mainly based on the work of Duffie, J.A., and Beckman, W. A., 1974, ""Solar energy thermal processes"".",,https://github.com/aqreed/solarpy,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solariot,Leverage your IoT enabled Solar PV Inverter to stream your solar energy usage data to a real time dashboard.,,https://github.com/meltaxa/solariot,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pvanalytics,"Quality control, filtering, feature labeling, and other tools for working with data from photovoltaic energy systems.",,https://github.com/pvlib/pvanalytics,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IonMonger,A free and fast perovskite solar cell simulator with coupled ion vacancy and charge carrier dynamics in one dimension.,,https://github.com/PerovskiteSCModelling/IonMonger,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rayflare,"Provide a flexible, user-friendly Python environment to model complex optical stacks, with a focus on solar cells.",,https://github.com/qpv-research-group/rayflare,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pv-terms,Contains nomenclature for PV-relevant terms that are used in modeling and data analysis for PV systems.,,https://github.com/DuraMAT/pv-terms,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StatisticalClearSky,Statistical estimation of a clear sky signal from PV system power data.,,https://github.com/slacgismo/StatisticalClearSky,github.com,,Photovoltaics and Solar Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
